(205, 5.807943416757345)
(237, 6.849056603773585)
(269, 7.700354609929078)
(301, 8.986033519553073)
(333, 10.612903225806452)
(365, 12.197368421052632)
(397, 12.39)
(429, 14.978260869565217)
(461, 16.083333333333332)
(493, 17.58823529411765)
(525, 16.142857142857142)
(13, 1.196101299566811)
(589, 31.857142857142858)
(621, 16.0)
(366, 11.144021739130435)
(142, 3.0848363393453573)
(14, 1.2898384713714162)
(46, 7.0746957671957675)
(78, 12.702689486552567)
(110, 2.169305724725944)
(206, 4.286736561823931)
(238, 6.251419721218379)
(270, 6.188197767145136)
(302, 8.101078167115903)
(334, 10.331444759206798)
(174, 3.22202565236621)
(398, 12.887096774193548)
(430, 13.890625)
(462, 16.158730158730158)
(494, 16.764705882352942)
(526, 20.9)
(558, 15.4)
(590, 27.625)
(622, 22.0)
(15, 1.3808032918865731)
(47, 7.295815497023021)
(143, 3.9470688673875927)
(175, 4.737941322725012)
(207, 5.912786885245902)
(111, 6.805882352941176)
(271, 7.911845730027548)
(303, 8.714285714285714)
(335, 10.776119402985074)
(367, 11.428571428571429)
(399, 13.433734939759036)
(431, 14.481481481481481)
(463, 15.483870967741936)
(495, 21.0)
(527, 16.875)
(559, 26.875)
(79, 15.695978186775733)
(655, 58.0)
(239, 6.712483399734396)
(48, 7.456472336334237)
(80, 12.384904169136535)
(112, 3.0319094184251156)
(144, 2.426829268292683)
(176, 3.371567648527209)
(208, 5.221379310344828)
(240, 5.3683163392191)
(272, 6.784059314179796)
(304, 9.031746031746032)
(16, 1.4897545995597468)
(336, 9.0)
(400, 14.233333333333333)
(432, 14.321739130434782)
(464, 15.652173913043478)
(496, 25.2)
(368, 10.734939759036145)
(560, 12.857142857142858)
(592, 24.75)
(624, 13.0)
(528, 15.2)
(113, 4.933566433566433)
(49, 7.7577367636092465)
(81, 16.321242019733024)
(17, 1.5968888888888888)
(177, 5.162619988706945)
(209, 5.685332011892963)
(241, 6.543951915852742)
(273, 8.2033426183844)
(305, 9.188010899182562)
(337, 10.365019011406844)
(369, 12.061068702290076)
(401, 12.715447154471544)
(145, 3.9044585987261144)
(465, 18.130434782608695)
(497, 20.210526315789473)
(529, 20.0)
(561, 19.75)
(433, 15.909090909090908)
(625, 66.0)
(593, 41.0)
(370, 11.605633802816902)
(50, 7.893789466831587)
(82, 15.142329020332717)
(146, 2.620466465796228)
(178, 4.115503875968992)
(210, 4.396871008939974)
(242, 5.380061435353253)
(274, 7.7890625)
(306, 7.941336971350614)
(338, 9.637065637065637)
(114, 2.0155109489051095)
(402, 13.045226130653266)
(434, 13.977777777777778)
(466, 16.36)
(498, 20.03030303030303)
(18, 1.7153953743943253)
(562, 23.0)
(594, 12.2)
(530, 19.8)
(19, 1.8510205395660293)
(51, 8.171783587885063)
(83, 16.96810506566604)
(147, 4.223335719398712)
(179, 4.656033287101248)
(211, 5.828729281767956)
(243, 6.955896452540748)
(275, 7.7556109725685785)
(307, 9.583333333333334)
(339, 10.4739336492891)
(371, 12.52317880794702)
(403, 13.895348837209303)
(435, 15.666666666666666)
(467, 17.40909090909091)
(499, 16.6)
(531, 21.09090909090909)
(563, 20.0)
(595, 25.0)
(115, 5.132517838939857)
(627, 33.5)
(116, 2.1058489225668957)
(148, 3.2085573476702507)
(180, 3.3773997011150705)
(212, 4.451820522250827)
(244, 6.466781214203895)
(276, 6.990503323836657)
(308, 8.235294117647058)
(340, 10.22397476340694)
(372, 10.685897435897436)
(404, 12.53475935828877)
(436, 15.517241379310345)
(468, 18.622222222222224)
(500, 15.380952380952381)
(532, 22.916666666666668)
(564, 25.571428571428573)
(596, 27.25)
(628, 14.0)
(84, 11.209395973154363)
(52, 8.34364261168385)
(20, 1.9792074909355455)
(213, 6.2045901639344265)
(245, 6.749098774333093)
(277, 8.230088495575222)
(309, 9.144444444444444)
(341, 10.428571428571429)
(373, 12.198795180722891)
(405, 14.823529411764707)
(437, 15.679245283018869)
(469, 15.892857142857142)
(565, 20.333333333333332)
(533, 25.545454545454547)
(21, 2.124646262353607)
(597, 25.666666666666668)
(629, 4.0)
(149, 3.9107692307692306)
(501, 23.818181818181817)
(117, 5.379126730564431)
(53, 8.576944193889956)
(85, 17.500242600679282)
(181, 4.834476003917728)
(214, 5.315752461322082)
(246, 5.529779711721512)
(278, 6.977467811158799)
(310, 9.485915492957746)
(342, 9.774390243902438)
(182, 3.5133627400103786)
(406, 13.475247524752476)
(438, 13.53012048192771)
(470, 15.381818181818181)
(502, 21.571428571428573)
(534, 22.0)
(566, 21.25)
(598, 25.333333333333332)
(630, 10.5)
(374, 11.227891156462585)
(118, 2.8089106361061034)
(22, 2.268988614877097)
(54, 8.721467026960127)
(86, 10.757735148514852)
